filename,alg_type,cv,wl,interval_number,avg_late,avg_latency,done_in_time_percent
tasks_cv-1-wl-0.1-in-1000.txt,0,1,0.1,1000,0.0289129925519045,0.040904304827785724,43.85704905101952
tasks_cv-1-wl-0.1-in-1000.txt,1,1,0.1,1000,0.02948331808373906,0.04172370664133999,75.32759676285566
tasks_cv-1-wl-0.1-in-1000.txt,2,1,0.1,1000,0.028362221535361342,0.040904304827785724,45.461565945840036
tasks_cv-1-wl-0.1-in-1000.txt,3,1,0.1,1000,0.029054497185393248,0.04167879403335205,76.8754441442655
tasks_cv-1-wl-0.2-in-1000.txt,0,1,0.2,1000,0.10789483856711075,0.13534928899407533,27.150309890800948
tasks_cv-1-wl-0.2-in-1000.txt,1,1,0.2,1000,0.10926479122335553,0.13657964069136724,60.450414471303645
tasks_cv-1-wl-0.2-in-1000.txt,2,1,0.2,1000,0.11013513401348822,0.13534928899407533,25.16289459269926
tasks_cv-1-wl-0.2-in-1000.txt,3,1,0.2,1000,0.11064627892784831,0.1367167083679,58.6161619789361
tasks_cv-1-wl-0.3-in-1000.txt,0,1,0.3,1000,0.20728971634783946,0.24838616681848244,20.742361574473087
tasks_cv-1-wl-0.3-in-1000.txt,1,1,0.3,1000,0.20925229042244808,0.24988065034588539,51.10264981990419
tasks_cv-1-wl-0.3-in-1000.txt,2,1,0.3,1000,0.20847579335514838,0.24838616681848244,20.223502263341974
tasks_cv-1-wl-0.3-in-1000.txt,3,1,0.3,1000,0.2097783341243334,0.24985470985246278,50.63709644090374
tasks_cv-1-wl-0.4-in-1000.txt,0,1,0.4,1000,0.3300782205631476,0.38590678028315983,17.04926668718086
tasks_cv-1-wl-0.4-in-1000.txt,1,1,0.4,1000,0.3323079849276866,0.3876684951032846,45.37072157153834
tasks_cv-1-wl-0.4-in-1000.txt,2,1,0.4,1000,0.3333944828333026,0.38590678028315983,16.177767262248363
tasks_cv-1-wl-0.4-in-1000.txt,3,1,0.4,1000,0.3346049968178182,0.38780103975360064,44.326447674290456
tasks_cv-1-wl-0.5-in-1000.txt,0,1,0.5,1000,0.5039843359366124,0.5759481188891302,14.323700076387828
tasks_cv-1-wl-0.5-in-1000.txt,1,1,0.5,1000,0.5065799846889563,0.5787803641253181,41.135636686251196
tasks_cv-1-wl-0.5-in-1000.txt,2,1,0.5,1000,0.5060924635869394,0.5759481188891302,14.025662747772298
tasks_cv-1-wl-0.5-in-1000.txt,3,1,0.5,1000,0.5077509794669858,0.5787425963855218,40.88942252924054
tasks_cv-1-wl-0.6-in-1000.txt,0,1,0.6,1000,0.8071168253447523,0.89400024315255,11.28478683371257
tasks_cv-1-wl-0.6-in-1000.txt,1,1,0.6,1000,0.8094715535242374,0.8976916375099606,38.0089810032103
tasks_cv-1-wl-0.6-in-1000.txt,2,1,0.6,1000,0.8121675078141832,0.89400024315255,10.540533364144773
tasks_cv-1-wl-0.6-in-1000.txt,3,1,0.6,1000,0.813256805054209,0.8977073086959548,37.19767529514667
tasks_cv-1-wl-0.7-in-1000.txt,0,1,0.7,1000,1.183716673318801,1.285372693964816,8.603996525944625
tasks_cv-1-wl-0.7-in-1000.txt,1,1,0.7,1000,1.186190643968825,1.2905750968075551,35.590480428185955
tasks_cv-1-wl-0.7-in-1000.txt,2,1,0.7,1000,1.188378601026969,1.285372693964816,8.155165465117557
tasks_cv-1-wl-0.7-in-1000.txt,3,1,0.7,1000,1.189246054654474,1.290189187761189,34.810260825696126
tasks_cv-1-wl-0.8-in-1000.txt,0,1,0.8,1000,2.005681785077212,2.125574929717171,5.8353607972087875
tasks_cv-1-wl-0.8-in-1000.txt,1,1,0.8,1000,2.0084356790612596,2.1329200355500637,33.41945711860033
tasks_cv-1-wl-0.8-in-1000.txt,2,1,0.8,1000,1.9923244773063076,2.125574929717171,6.612143796818181
tasks_cv-1-wl-0.8-in-1000.txt,3,1,0.8,1000,1.9948488288749722,2.1318500390271913,34.88388943927744
tasks_cv-1-wl-0.9-in-1000.txt,0,1,0.9,1000,3.995500942459593,4.129778816085695,3.0564081915042722
tasks_cv-1-wl-0.9-in-1000.txt,1,1,0.9,1000,3.998238177334263,4.139148022742865,31.482822274786837
tasks_cv-1-wl-0.9-in-1000.txt,2,1,0.9,1000,3.98171631760246,4.129778816085695,3.3931453551921678
tasks_cv-1-wl-0.9-in-1000.txt,3,1,0.9,1000,3.9856356620577693,4.1394885753234245,32.733992162297554
tasks_cv-10-wl-0.1-in-1000.txt,0,10,0.1,1000,5.033113076553601,5.043160150601381,15.217666004404165
tasks_cv-10-wl-0.1-in-1000.txt,1,10,0.1,1000,5.033533917041185,5.043586815306223,21.458509900692025
tasks_cv-10-wl-0.1-in-1000.txt,2,10,0.1,1000,5.0335292217689735,5.043160150601381,15.120318964486334
tasks_cv-10-wl-0.1-in-1000.txt,3,10,0.1,1000,5.034335307305952,5.0440045975179775,21.32383281600935
tasks_cv-10-wl-0.2-in-1000.txt,0,10,0.2,1000,12.983243598620627,13.00251357223144,12.815652863441915
tasks_cv-10-wl-0.2-in-1000.txt,1,10,0.2,1000,12.98333450869809,13.002634254466106,18.177634123775636
tasks_cv-10-wl-0.2-in-1000.txt,2,10,0.2,1000,12.983355853078148,13.00251357223144,12.874487883630891
tasks_cv-10-wl-0.2-in-1000.txt,3,10,0.2,1000,12.98284054492279,13.002053953156349,18.21915690033851
tasks_cv-10-wl-0.3-in-1000.txt,0,10,0.3,1000,20.101179534765386,20.129145341630505,10.860129837102496
